1,"Pork - Loin, Bone - In","Repair Left Internal Carotid Artery, Open Approach",67.36
2,"Tart Shells - Sweet, 3","Revision of Drainage Device in Diaphragm, Endo",40.0
3,Tea - Orange Pekoe,"Revision of Drain Dev in Retroperitoneum, Extern Approach",65.59
4,"Pepper - White, Ground","Drainage of R Shoulder with Drain Dev, Perc Endo Approach",99.13
5,Monkfish - Fresh,"Supplement Middle Esophagus with Autol Sub, Open Approach",86.05
6,Nescafe - Frothy French Vanilla,"Fusion Thor Jt w Intbd Fus Dev, Post Appr P Col, Perc",96.93
7,Veal - Osso Bucco,"Destruction of Thoracic Sympathetic Nerve, Open Approach",62.54
8,Straws - Cocktale,"Fluoroscopy Port/Splanch Vein w H Osm Contrast, Guidance",42.21
9,Vinegar - Cider,"Drainage of L Thyroid Art with Drain Dev, Open Approach",57.35
10,Hipnotiq Liquor,"Reposition Left Abdomen Muscle, Open Approach",40.34
11,Oil - Safflower,"Central Nervous System, Transfer",84.57
12,Soup - Boston Clam Chowder,"Repair Left Lacrimal Duct, Open Approach",47.09
13,Chocolate - Chips Compound,"Destruction of Right Innominate Vein, Percutaneous Approach",39.84
14,Pie Filling - Pumpkin,"Removal of Int Fix from R Scapula, Extern Approach",24.46
15,Celery,"Supplement Upper Back with Nonaut Sub, Perc Endo Approach",87.76
16,Bread Country Roll,"Dilate R Foot Art, Bifurc, w Intralum Dev, Perc Endo",93.78
17,Chocolate - Compound Coating,Fluoroscopy of Thoracolumbar Joint using H Osm Contrast,77.57
18,"Placemat - Scallop, White",Plain Radiography of Bilateral Internal Carotid Arteries,42.96
19,Napkin White - Starched,"Occlusion R Fallopian Tube w Extralum Dev, Open",66.67
20,Wine - Gato Negro Cabernet,"Excision of Perineum Subcu/Fascia, Perc Approach",98.51
